"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"412",15,"Raheim Sanders",LAC,"RB103","23","244","394","325.6","48.8","-"
"413",15,"Konata Mumpfield",LAR,"WR145","22","248","377","308.8","55.3","-"
"414",15,"Kyle McCord",PHI,"QB55","22","273","348","309.8","29.7","-"
"415",15,"Hendon Hooker",DET,"QB56","27","288","333","311.3","16.7","-"
"416",15,"Daniel Bellinger",NYG,"TE60","24","310","382","340.0","28.8","-"
"417",15,"Indianapolis Colts",IND,"DST27","-","231","311","283.3","37.0","-"
"418",15,"Jake Browning",CIN,"QB57","29","312","358","330.4","16.0","-"
"419",15,"Tennessee Titans",TEN,"DST28","-","265","299","286.7","15.4","-"
"420",15,"Jake Bobo",SEA,"WR146","27","289","361","316.8","28.9","-"
"421",15,"Jimmy Garoppolo",LAR,"QB58","33","285","346","317.3","21.8","-"
"422",15,"New York Giants",NYG,"DST29","-","270","306","291.3","15.4","-117"
"423",15,"Marcus Yarns",NO,"RB104","23","289","370","333.6","31.1","-"
"424",15,"Eddy Pineiro",FA,"K27","29","263","319","291.7","22.9","-"
"425",15,"Efton Chism III",NE,"WR147","23","241","379","334.4","50.1","-"
"426",15,"Colby Parkinson",LAR,"TE61","26","292","384","334.6","29.9","-"
"427",15,"Jonathan Mingo",DAL,"WR148","24","295","403","346.0","39.4","-"
"428",15,"Tampa Bay Buccaneers",TB,"DST30","-","189","297","243.0","54.0","-133"
"429",15,"Quinn Ewers",MIA,"QB59","22","282","329","299.3","21.1","-109"
"430",15,"Grant Calcaterra",PHI,"TE62","26","279","383","325.5","37.4","-"
"431",15,"Tommy Tremble",CAR,"TE63","25","297","359","326.8","23.9","-"
"432",15,"Jared Wiley",KC,"TE64","24","272","364","333.0","35.9","-"
"433",15,"Chad Ryland",ARI,"K28","25","268","336","312.3","31.4","-"
"434",15,"Carolina Panthers",CAR,"DST31","-","235","310","272.5","37.5","-"
"435",15,"Foster Moreau",NO,"TE65","28","321","393","347.4","25.7","-"
